state,city,zip,area_codes,latitude,longitude
PA,Bensalem,19020,"215,267",40.1,-74.93
NY,New York,10024,"212,646,917,718",40.71,-73.99
OK,Yukon,73099,405,35.51,-97.76
IL,Chicago,60614,"312,773",41.83,-87.68
CT,Stamford,6902,203,41.09,-73.55
FL,Port Saint Lucie,34953,561,27.27,-80.35
MA,Malden,2148,"617,781,339,857",42.43,-71.05
UT,Clearfield,84015,801,41.11,-112.05
PA,Morrisville,19067,"215,267",40.2,-74.78
OK,Broken Arrow,74012,918,36.03,-95.78
CA,Porterville,93257,559,35.96,-118.92
PA,Philadelphia,19111,215,40.06,-75.07
OH,Painesville,44077,440,41.72,-81.24
CA,Los Angeles,90026,"213,323,818",34.07,-118.26
CA,Fountain Valley,92708,"714,626,949",33.71,-117.94
NJ,Wayne,7470,"201,973,862",40.94,-74.24
CA,Calexico,92231,760,32.69,-115.51
CA,San Francisco,94122,"415,619",37.76,-122.48
IL,Arlington Heights,60004,"847,312,224",42.09,-87.98
TX,Dallas,75228,"214,972",32.79,-96.76
IL,Chicago,60640,"312,773,847",41.83,-87.68
HI,Mililani,96789,808,21.45,-158.01
NC,Raleigh,27610,919,35.82,-78.65
CA,San Jose,95127,408,37.37,-121.75
TX,Lewisville,75067,"214,972,469,817",33.04,-96.98
CA,Montebello,90640,"323,818,626,213",34,-118.1
NJ,Jersey City,7305,201,40.71,-74.06
HI,Kaneohe,96744,808,21.41,-157.79
NY,Buffalo,14221,"585,716",42.88,-78.85
IL,Chicago,60638,"708,773,312,630",41.83,-87.68
OH,Lancaster,43130,"614,740",39.72,-82.59
NM,Albuquerque,87111,505,35.11,-106.62
CA,Sunnyvale,94087,"408,650,949",37.35,-122.03
NJ,Freehold,7728,"609,732,908",40.25,-74.27
NM,Albuquerque,87114,505,35.11,-106.62
CA,Tulare,93274,"559,209",36.18,-119.36
TX,Pharr,78577,956,26.18,-98.18
CA,Los Angeles,90022,"626,323,213,562",34.02,-118.15
FL,Jacksonville,32244,904,30.33,-81.65
NY,Brooklyn,11210,"718,347",40.64,-73.94
OH,Loveland,45140,513,39.26,-84.27
GA,Marietta,30066,"404,678,770",33.95,-84.54
CA,Carson,90745,"310,323,562",33.82,-118.26
DC,Washington,20011,202,38.89,-77.03
CA,Murrieta,92562,"714,951",33.54,-117.33
CA,Vacaville,95687,707,38.35,-121.93
FL,Jacksonville,32225,904,30.33,-81.65
TX,El Paso,79924,915,31.84,-106.43
CA,Lancaster,93535,"661,818",34.69,-117.9
CA,Oxnard,93030,"805,949,213",34.19,-119.17
VA,Annandale,22003,"703,571,202",38.83,-77.21
NJ,Union,7083,"908,973,201",40.69,-74.26
NY,Staten Island,10306,"917,718,646",40.58,-74.14
NY,New York,10032,"917,212,646",40.71,-73.99
CA,Anaheim,92801,"909,714,949",33.84,-117.95
VA,Fredericksburg,22407,540,38.29,-77.48
CA,Antioch,94509,"510,925",37.99,-121.81
IL,Lombard,60148,"630,773,312,847",41.87,-88.01
TX,Garland,75043,"214,972,469",32.91,-96.62
NY,New York,10033,"212,646,917",40.71,-73.99
TX,Carrollton,75007,"214,972,469",32.98,-96.89
NJ,North Bergen,7047,201,40.79,-74.02
GA,Alpharetta,30004,"404,678,770",34.06,-84.27
CA,Carmichael,95608,916,38.62,-121.32
VA,Woodbridge,22192,703,38.63,-77.26
CA,San Diego,92105,"619,858",32.73,-117.08
FL,Hollywood,33027,"954,305",26.02,-80.16
OR,Bend,97701,541,44.07,-121.25
CA,Simi Valley,93063,805,34.3,-118.72
CA,Santa Clara,95051,"408,925",37.35,-121.98
NY,Webster,14580,"585,716",43.21,-77.42
TN,Brentwood,37027,615,35.99,-86.78
FL,Hollywood,33025,"954,305",26.02,-80.16
WA,Bothell,98012,"425,206",47.84,-122.19
PA,Hanover,17331,717,39.81,-76.98
VA,Ashburn,20147,703,39.04,-77.48
CA,Panorama City,91402,818,34.22,-118.44
GA,Cumming,30040,"770,678",34.2,-84.13
CA,Hanford,93230,"209,559",36.27,-119.63
TX,San Antonio,78250,210,29.45,-98.5
IL,Chicago,60630,"773,847,312",41.83,-87.68
CA,Costa Mesa,92627,"949,714",33.64,-117.91
CA,Huntington Beach,92647,"714,949",33.72,-118
CA,Hacienda Heights,91745,"626,909,818,323,562",34,-117.97
CA,Stockton,95206,209,37.9,-121.4
MI,Macomb,48044,"248,586,810",42.66,-82.91
MD,Silver Spring,20904,"202,240,301,703,410",39.01,-77.02
MI,Ann Arbor,48103,"313,734,810,586",42.27,-83.73
IL,Aurora,60505,"630,312,331",41.76,-88.29
NC,Concord,28027,"704,980",35.4,-80.59
VA,Virginia Beach,23456,757,36.73,-76.04
MN,Saint Paul,55124,"651,763,952,612",44.94,-93.1
NM,Albuquerque,87120,505,35.11,-106.62
GA,Roswell,30075,"404,678,770",34.03,-84.35
GA,Acworth,30101,"404,770,678",34.05,-84.67
MA,Medford,2155,"617,781,978,339",42.42,-71.1
PA,Lancaster,17601,717,40.04,-76.3
HI,Honolulu,96817,808,21.3,-157.85
GA,Columbus,31907,706,32.51,-84.87
FL,Miami,33175,305,25.77,-80.2
VA,Woodbridge,22191,703,38.63,-77.26
MD,Hagerstown,21740,"240,301",39.63,-77.71
IL,Bolingbrook,60440,"630,815",41.7,-88.07
MD,Potomac,20854,"240,301",39.02,-77.19
TX,Mesquite,75150,"972,214",32.76,-96.59
OH,Columbus,43230,614,39.98,-82.98
CA,Ontario,91761,"909,714",34.02,-117.58
CA,Fremont,94539,"510,650,415,925,209,000",37.51,-121.89
CA,Hayward,94541,"510,925",37.67,-122.08
NY,Jamaica,11434,"646,917,718,347",40.68,-73.78
FL,Miami,33165,305,25.77,-80.2
OH,Findlay,45840,"419,567",41.04,-83.64
MA,Plymouth,2360,"508,617,774",41.95,-70.66
TX,Plano,75025,"214,469,972",33.04,-96.74
OH,Cleveland,44130,"440,216",41.47,-81.67
CA,Spring Valley,91977,619,32.71,-116.99
CA,Cerritos,90703,"562,626",33.86,-118.05
MD,Dundalk,21222,"443,410",39.26,-76.49
TX,Brownsville,78520,956,25.92,-97.48
OH,Mason,45040,513,39.36,-84.3
SC,Rock Hill,29732,803,34.93,-81.02
KS,Olathe,66061,913,38.88,-94.81
MA,Brockton,2301,"508,617,774",42.08,-71.02
PA,Philadelphia,19124,215,39.95,-75.16
CO,Denver,80219,"303,720",39.76,-104.87
CA,Los Angeles,90042,"213,323,818",34.11,-118.19
NC,Greensboro,27410,"910,336",36.07,-79.82
CA,San Diego,92129,"619,858",32.96,-117.12
TX,Humble,77346,"281,713",29.99,-95.26
CA,Oceanside,92057,760,33.27,-117.28
FL,Orlando,32828,407,28.5,-81.37
NY,Bronx,10472,718,40.84,-73.87
CA,Bakersfield,93306,"661,805",35.43,-118.83
CA,Los Angeles,90019,"213,323,310",34.04,-118.34
FL,Wellington,33414,561,26.74,-80.12
MI,Ypsilanti,48197,"734,248,810,586",42.24,-83.62
NY,Yonkers,10701,914,40.94,-73.86
GA,Woodstock,30188,"678,770,404",34.1,-84.51
MN,Rochester,55901,507,44.01,-92.47
MO,Saint Louis,63123,"314,636",38.63,-90.24
OH,West Chester,45069,"513,614",39.33,-84.4
MA,Peabody,1960,"978,508,617",42.53,-70.97
LA,Marrero,70072,504,29.88,-90.11
TX,Fort Worth,76137,"817,972,682",32.75,-97.33
CA,El Monte,91732,"626,323",34.07,-118.01
CA,San Jose,95111,408,37.28,-121.83
GA,Augusta,30906,706,33.45,-81.99
IL,Chicago Heights,60411,708,41.5,-87.63
TX,San Antonio,78228,210,29.45,-98.5
NJ,Piscataway,8854,"732,908,201",40.51,-74.45
GA,Cumming,30041,"678,770,404",34.2,-84.13
TX,El Paso,79907,915,31.84,-106.43
NV,Las Vegas,89117,702,36.14,-115.27
TX,San Antonio,78245,"210,830",29.45,-98.5
CA,Bakersfield,93312,"661,805",35.38,-119.22
IL,Crystal Lake,60014,"815,630,312",42.23,-88.33
WI,Milwaukee,53215,414,43.06,-87.96
SC,Goose Creek,29445,843,32.98,-79.99
OH,Hamilton,45013,513,39.39,-84.56
CA,San Pablo,94806,"510,310",37.98,-122.33
PA,West Chester,19380,"484,610",39.95,-75.6
MA,Quincy,2169,"508,617,781",42.26,-71
CA,Los Angeles,90066,"310,661,818,213,562,000,000",34,-118.43
MD,Owings Mills,21117,"410,443",39.41,-76.79
FL,Oviedo,32765,"407,321",28.65,-81.18
OH,Reynoldsburg,43068,"614,740",39.95,-82.79
UT,Ogden,84404,"801,435",41.24,-112.13
FL,Tampa,33647,813,27.95,-82.48
